Filter No.,Freq [kHz],A2_2kHz,A2_4kHz,A2_6kHz,A2_8kHz,B1_2kHz,B1_4kHz,B1_6kHz,B1_8kHz,A3_2kHz,A3_4kHz,A3_6kHz,A3_8kHz
146,354,9FA3,A4BE,9B4A,95EC,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
147,355.2,A121,A64A,9CBD,9752,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
148,356.4,A29E,A7D4,9E2E,98B5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
149,357.6,A419,A95C,9F9E,9A17,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
150,358.8,A592,AAE2,A10B,9B76,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
151,360,A709,AC67,A277,9CD4,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
152,361.2,A87F,ADEA,A3E1,9E30,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
153,362.4,A9F2,AF6B,A549,9F8A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
154,363.6,AB63,B0EA,A6AF,A0E1,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
155,364.8,ACD3,B267,A812,A237,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
156,366,AE40,B3E2,A974,A38A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
157,367.2,AFAB,B55B,AAD3,A4DB,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
158,368.4,B115,B6D2,AC31,A62A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
159,369.6,B27C,B847,AD8C,A776,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
160,370.8,B3E0,B9BA,AEE5,A8C0,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
161,372,B543,BB2A,B03B,AA08,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
162,373.2,B6A3,BC98,B18F,AB4E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
163,374.4,B801,BE04,B2E1,AC90,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
164,375.6,B95C,BF6E,B430,ADD1,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
165,376.8,BAB5,C0D5,B57D,AF0F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
166,378,BC0C,C23A,B6C7,B04A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
167,379.2,BD60,C39D,B80F,B183,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
168,380.4,BEB1,C4FD,B954,B2B9,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
169,381.6,C000,C65A,BA97,B3EC,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
170,382.8,C14D,C7B5,BBD6,B51D,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
171,384,C296,C90E,BD14,B64A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
172,385.2,C3DD,CA63,BE4E,B775,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
173,386.4,C521,CBB6,BF85,B89D,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
174,387.6,C663,CD07,C0BA,B9C3,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
175,388.8,C7A1,CE54,C1EC,BAE5,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
176,390,C8DD,CF9F,C31B,BC04,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
177,391.2,CA16,D0E7,C447,BD20,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
178,392.4,CB4C,D22C,C570,BE39,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
179,393.6,CC7F,D36E,C696,BF50,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
180,394.8,CDAF,D4AD,C7B9,C062,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
181,396,CEDB,D5E9,C8D8,C172,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
182,397.2,D005,D722,C9F5,C27F,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
183,398.4,D12C,D858,CB0E,C388,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
184,399.6,D24F,D98B,CC25,C48E,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
185,400.8,D36F,DABB,CD37,C591,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
186,402,D48C,DBE7,CE47,C690,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
187,403.2,D5A6,DD10,CF53,C78B,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
188,404.4,D6BC,DE36,D05C,C884,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
189,405.6,D7CF,DF59,D161,C979,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
190,406.8,D8DE,E078,D263,CA6A,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
191,408,D9EA,E194,D361,CB57,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
192,409.2,DAF2,E2AC,D45C,CC42,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
193,410.4,DBF7,E3C1,D553,CD28,0199,032D,04BD,0647,FCCE,F9A5,F687,F372
